CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8965415,2,1,3,M,35,4,9,-,-,3,ALAMEDA,OAKLAND,2019
8965544,2,1,3,F,51,3,9,P,B,0,ALAMEDA,OAKLAND,2019
8966585,2,1,3,-,52,3,9,-,-,3,ALAMEDA,OAKLAND,2019
8972173,1,1,3,F,48,4,9,P,A,0,ALAMEDA,OAKLAND,2019
8991715,1,1,4,M,21,4,1,P,W,0,ALAMEDA,OAKLAND,2019
9004418,1,1,4,M,26,3,1,P,V,0,ALAMEDA,OAKLAND,2019
9013497,2,1,4,F,30,3,9,P,W,0,ALAMEDA,OAKLAND,2019
9014363,1,1,2,F,30,4,3,M,G,0,ALAMEDA,OAKLAND,2019
9014363,1,2,2,F,55,0,6,M,G,0,ALAMEDA,OAKLAND,2019
9014363,2,1,3,M,67,4,9,-,-,0,ALAMEDA,OAKLAND,2019
9017398,2,1,3,-,64,4,9,-,-,3,ALAMEDA,OAKLAND,2020
9017406,2,1,4,M,56,4,9,N,V,0,ALAMEDA,OAKLAND,2020
9028945,2,1,4,M,34,4,9,P,V,1,ALAMEDA,OAKLAND,2019
9036747,2,1,4,M,76,3,9,P,W,1,ALAMEDA,OAKLAND,2019
9042532,2,1,3,F,76,4,9,-,-,2,ALAMEDA,OAKLAND,2020
9043412,2,1,3,F,31,4,9,-,-,3,ALAMEDA,OAKLAND,2019
9043650,2,1,3,F,53,4,9,-,-,3,ALAMEDA,OAKLAND,2020
9045478,1,1,4,M,17,4,9,P,-,3,ALAMEDA,OAKLAND,2019
9046192,2,1,3,M,25,3,9,N,A,3,ALAMEDA,OAKLAND,2019
9050323,1,1,4,M,21,4,9,P,V,1,ALAMEDA,OAKLAND,2020
9050367,1,1,4,M,48,4,9,P,V,0,ALAMEDA,OAKLAND,2020
9050512,3,1,5,F,46,4,9,M,F,3,ALAMEDA,OAKLAND,2020
9052872,2,1,3,M,45,4,9,P,B,0,ALAMEDA,OAKLAND,2019
9054643,2,1,3,F,33,3,9,P,-,3,ALAMEDA,OAKLAND,2019
